id,user_id,start_time,start_position,x,y,z,date,time
3496,0,18:35:28.657,JDDoor12,-4.2640734,-5.2648497,7.314286,2017-04-26,18:35:28.079
3497,0,18:35:28.657,JDDoor12,-4.4963107,-4.2161894,8.042124,2017-04-26,18:35:28.124
3498,0,18:35:28.657,JDDoor12,-5.499481,-5.2169657,8.611943,2017-04-26,18:35:28.175
3495,0,18:35:28.657,JDDoor12,-5.116409,-6.8402343,9.215282,2017-04-26,18:35:28.23
3494,0,18:35:28.657,JDDoor12,-5.104438,-6.179435,8.686164,2017-04-26,18:35:28.265
3502,0,18:35:28.657,JDDoor12,-4.8123455,-5.518635,8.12592,2017-04-26,18:35:28.315
3501,0,18:35:28.657,JDDoor12,-4.0414124,-5.4180784,8.228871,2017-04-26,18:35:28.375
3503,0,18:35:28.657,JDDoor12,-2.8874073,-3.739743,6.8043213,2017-04-26,18:35:28.434
3500,0,18:35:28.657,JDDoor12,-3.3063924,-3.6296098,7.2424603,2017-04-26,18:35:28.515
3499,0,18:35:28.657,JDDoor12,-3.3518825,-2.6408045,7.007828,2017-04-26,18:35:28.6
3513,0,18:35:28.657,JDDoor12,-4.0797195,-3.7684734,7.78355,2017-04-26,18:35:28.635
3508,0,18:35:28.657,JDDoor12,-4.4484267,-5.734113,8.343793,2017-04-26,18:35:28.671
3507,0,18:35:28.657,JDDoor12,-3.7445314,-5.521029,9.153033,2017-04-26,18:35:28.707
3510,0,18:35:28.657,JDDoor12,-4.2521024,-6.0118403,11.216835,2017-04-26,18:35:28.752
3506,0,18:35:28.657,JDDoor12,-2.6551697,-6.256049,11.085154,2017-04-26,18:35:28.805
3517,0,18:35:28.657,JDDoor12,-2.5450363,-2.72939,11.659762,2017-04-26,18:35:28.862
3515,0,18:35:28.657,JDDoor12,-3.13401,-6.0597243,11.69807,2017-04-26,18:35:28.939
3516,0,18:35:28.657,JDDoor12,-4.2521024,-2.2577322,12.354081,2017-04-26,18:35:28.99
3523,0,18:35:28.657,JDDoor12,-5.2385135,0.78529817,14.008474,2017-04-26,18:35:29.061
3530,0,18:35:28.657,JDDoor12,-5.595249,-3.2154129,11.942278,2017-04-26,18:35:29.119
3522,0,18:35:28.657,JDDoor12,-4.6495395,-1.733402,7.4723034,2017-04-26,18:35:29.163
3537,0,18:35:28.657,JDDoor12,-0.49799395,-4.8578353,7.85777,2017-04-26,18:35:29.221
3528,0,18:35:28.657,JDDoor12,3.3207579,-4.1299977,8.374918,2017-04-26,18:35:29.285
3529,0,18:35:28.657,JDDoor12,2.8921957,-1.8219875,8.578424,2017-04-26,18:35:29.341
3525,0,18:35:28.657,JDDoor12,0.9600749,-1.7597382,8.614338,2017-04-26,18:35:29.395
3524,0,18:35:28.657,JDDoor12,2.918532,-4.1060557,11.401189,2017-04-26,18:35:29.435
3538,0,18:35:28.657,JDDoor12,3.2393548,-1.9919758,11.030087,2017-04-26,18:35:29.505
3520,0,18:35:28.657,JDDoor12,3.3638535,0.29688102,9.301474,2017-04-26,18:35:29.564
3539,0,18:35:28.657,JDDoor12,3.9911342,-0.23463176,9.617508,2017-04-26,18:35:29.595
3504,0,18:35:28.657,JDDoor12,5.401319,4.060566,6.8186865,2017-04-26,18:35:29.654
3505,0,18:35:28.657,JDDoor12,4.6950297,-0.60094464,10.42196,2017-04-26,18:35:29.708
3509,0,18:35:28.657,JDDoor12,-1.9273324,-5.9041014,11.243171,2017-04-26,18:35:29.763
3511,0,18:35:28.657,JDDoor12,2.4875755,-2.4181437,7.6494746,2017-04-26,18:35:29.847
3512,0,18:35:28.657,JDDoor12,2.753332,-0.15562311,9.414001,2017-04-26,18:35:29.894
3514,0,18:35:28.657,JDDoor12,4.8386817,-1.946486,9.878476,2017-04-26,18:35:29.965
3518,0,18:35:28.657,JDDoor12,4.1180267,-1.3024458,9.677363,2017-04-26,18:35:30.007
3519,0,18:35:28.657,JDDoor12,2.2816741,-1.8411411,8.990228,2017-04-26,18:35:30.097
3521,0,18:35:28.657,JDDoor12,0.47165772,-1.8100165,11.631032,2017-04-26,18:35:30.151
3526,0,18:35:28.657,JDDoor12,-0.21787235,-1.5251064,11.295844,2017-04-26,18:35:30.253
3527,0,18:35:28.657,JDDoor12,-1.9393034,0.7661445,12.272678,2017-04-26,18:35:30.314
3532,0,18:35:28.657,JDDoor12,-2.3870192,-1.532289,10.807426,2017-04-26,18:35:30.329
3531,0,18:35:28.657,JDDoor12,-4.972757,-1.4628572,11.305421,2017-04-26,18:35:30.368
3533,0,18:35:28.657,JDDoor12,-2.6001031,-4.426879,9.390059,2017-04-26,18:35:30.426
3534,0,18:35:28.657,JDDoor12,-3.383007,-1.8746599,7.4148426,2017-04-26,18:35:30.468
3535,0,18:35:28.657,JDDoor12,-7.422025,-4.1635165,8.820239,2017-04-26,18:35:30.517
3536,0,18:35:28.657,JDDoor12,-3.9791632,1.9800048,7.8912888,2017-04-26,18:35:30.571
3540,0,18:35:28.657,JDDoor12,1.316811,3.074155,11.954249,2017-04-26,18:35:30.641
3541,0,18:35:28.657,JDDoor12,9.998186,-0.80684596,1.0223241,2017-04-26,18:35:30.755
3542,0,18:35:28.657,JDDoor12,4.8482585,6.3302693,8.990228,2017-04-26,18:35:30.763
3543,0,18:35:28.657,JDDoor12,10.072407,-10.984597,1.1252748,2017-04-26,18:35:30.842
3544,0,18:35:28.657,JDDoor12,4.745308,-9.497798,0.9983821,2017-04-26,18:35:30.889
3545,0,18:35:28.657,JDDoor12,5.827487,-9.821015,1.0127473,2017-04-26,18:35:30.923
3546,0,18:35:28.657,JDDoor12,8.236053,-11.046846,1.6041151,2017-04-26,18:35:30.978
3547,0,18:35:28.657,JDDoor12,7.1706343,-13.129802,5.8634,2017-04-26,18:35:31.03
3548,0,18:35:28.657,JDDoor12,10.070012,-9.066842,1.8818425,2017-04-26,18:35:31.09
3549,0,18:35:28.657,JDDoor12,10.007763,-5.920861,3.8498764,2017-04-26,18:35:31.141
3550,0,18:35:28.657,JDDoor12,9.861717,-3.70383,3.9624038,2017-04-26,18:35:31.195
3551,0,18:35:28.657,JDDoor12,10.426748,-1.9919758,2.4875755,2017-04-26,18:35:31.259
3552,0,18:35:28.657,JDDoor12,13.546393,2.2050598,1.0031705,2017-04-26,18:35:31.31
3553,0,18:35:28.657,JDDoor12,11.626244,4.146757,0.11971009,2017-04-26,18:35:31.368
3554,0,18:35:28.657,JDDoor12,16.007633,1.2593501,-0.4237737,2017-04-26,18:35:31.431
3555,0,18:35:28.657,JDDoor12,13.63019,-3.751714,1.8076223,2017-04-26,18:35:31.486
3556,0,18:35:28.657,JDDoor12,12.471396,-3.2249897,3.4955344,2017-04-26,18:35:31.521
3557,0,18:35:28.657,JDDoor12,9.818622,-3.8786068,-0.32561144,2017-04-26,18:35:31.579
3558,0,18:35:28.657,JDDoor12,4.7429137,-4.1252093,-0.8571242,2017-04-26,18:35:31.619
3559,0,18:35:28.657,JDDoor12,6.967127,-4.10845,0.35194764,2017-04-26,18:35:31.697
3560,0,18:35:28.657,JDDoor12,8.875306,-5.279215,1.127669,2017-04-26,18:35:31.754
3561,0,18:35:28.657,JDDoor12,11.868058,-5.5497594,3.1196449,2017-04-26,18:35:31.819
3562,0,18:35:28.657,JDDoor12,10.874464,-4.783615,3.3997664,2017-04-26,18:35:31.876
3563,0,18:35:28.657,JDDoor12,8.413225,-5.3103395,4.3718123,2017-04-26,18:35:31.947
3564,0,18:35:28.657,JDDoor12,13.666103,-3.8738184,3.3303347,2017-04-26,18:35:32.007
3565,0,18:35:28.657,JDDoor12,14.470555,-2.4253263,3.2010477,2017-04-26,18:35:32.06
3566,0,18:35:28.657,JDDoor12,11.360487,-2.9137435,3.2728736,2017-04-26,18:35:32.123
